;;;;;Documentos: Lineamentos técnicos para el reporte de la Resolución 202 de 2021;;;;;;
;;;;;Dirección de Epidemiologia y Demografia;;;;;;
;;;;;Versión 10;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
VARIABLES DEL REPORTE MODIFICADO;;;;;;;VALIDACIONES REALIZADAS DURANTE EL CARGUE ;;;;
No.;GRUPO;NOMBRE DE LA VARIABLE;LONGITUD;TIPO;VALORES PERMITIDOS;USO DE VALORES PERMITIDOS;VALIDACIONES;Código del error o warning;Descripción del error o warning;Variables relacionadas;
0;Tipo de registro;Tipo de registro;1;N;2;;;;;;
1;Identificación;Consecutivo de registro;8;N;Número consecutivo de registros de detalle dentro del archivo. Inicia en 1 para el primer registro de detalle y va incrementando de 1 en 1, hasta el final del archivo. ;;;;;;
2;Identificación;Código de habilitación IPS primaria;12;N;"Tabla REPS (Registro Especial de Prestadores de Servicios de Salud) 
Si es desconocido registrar 999.";La opción 999 se usa cuando no se tiene el dato o el código de la IPS aún no se encuentra actualizado en el REPS.;Validar que el código registrado en la variable 2 se encuentre en el REPS del MSPS;Error021;La IPS primaria no existe;Variable 2, tabla REPS;
3;Identificación;Tipo de identificación del usuario;2;A;Ver tabla de referencia SGDTipoID publicada en web.sispro.gov.co, donde se encuentran los valores permitidos;"Las opciones MS, AS Y CN son tipos de identificación transitorios no definitivos.

Se actualizó NV a CN.

Se agregaron las opciones PE, SC y DE, de acuerdo a lo establecido en la Circular 029 de 2019.



";"Cruzar las variables 3 y 4 con BDUA y BDEX para validar la correspondencia con los datos de las variables 5, 6,7, 8, 9 y 10.
Cruzar las variables 3 y 4 con BDUA y BDEX para consultar los siguientes datos: 
· Fecha de Afiliación
· Estado de Afiliación
· Geografía de Residencia.";;;;
4;Identificación;Número de identificación del usuario;18;A;Número del documento de identificación, de acuerdo con el tipo de identificación del campo anterior;"Se permite el registro de los siguientes caracteres:
*Números entre 0 a 9.
*Letras de la A a la Z, excluyendo Ñ.";Validar caracteres permitidos;Error220;Número de identificación con caracteres no permitidos;Variable 4;
;;;;;;;Generar error cuando (la variable 3 = CC Y longitud de la variable 4 > 10) o (la variable 3 = TI Y longitud de la variable 4 > 11) o (la variable 3 = CE Y (longitud de la variable 4 < 3 o longitud de la variable 4 > 7)) o (la variable 3 = CD Y longitud de la variable 4 > 11) o (la variable 3 = PA Y (longitud de la variable 4 < 3 o longitud de la variable 4 > 16)) o (la variable 3 = SC Y longitud de la variable 4 > 9) o (la variable 3 = PE Y (longitud de la variable 4 < 3 o longitud de la variable 4 > 15));Error676;La longitud del número de identificación no corresponde con el tipo de identificación;Variables 3, 4;
5;Identificación;Primer apellido del usuario;30;A;Los datos deben ser en letras MAYÚSCULAS, sin caracteres especiales y sin tildes;;;;;;
6;Identificación;Segundo apellido del usuario ;30;A;Los datos deben ser en letras MAYÚSCULAS, sin caracteres especiales y sin tildes. Si el usuario no tiene segundo apellido o no se tiene este dato, Registre NONE en mayúscula sostenida ;;;;;;
7;Identificación;Primer nombre del usuario ;30;A;Los datos deben ser en letras MAYÚSCULAS, sin caracteres especiales y sin tildes;;;;;;
8;Identificación;Segundo nombre del usuario ;30;A;Los datos deben ser en letras MAYÚSCULAS, sin caracteres especiales y sin tildes. Si el usuario no tiene segundo apellido o no se tiene este dato, Registre NONE en mayúscula sostenida;;;;;;
9;Identificación;Fecha de Nacimiento;10;F;AAAA-MM-DD;;La variable 9 no debe ser nula;Error020;La fecha de nacimiento es requerida;Variable 9;
;;;;;;;Validar contenido de fecha en la variable 9;Error421;contenido en el campo FechaNacimiento  no válido;Variable 9;
;;;;;;;Validar comodines: de manera excepcional en esta variable se genera error si se registró algún comodín, o una fecha menor a 1900-01-01;Error677;No se permite el registro de estos comodines en Fecha Nacimiento;Variable 9;
;;;1;N;;;La fecha registrada en la variable 9 debe ser menor a la fecha de corte del reporte;Error120;Fecha Nacimiento es mayor a la fecha de corte;Variable 9 y Fecha de corte;
10;Identificación;Sexo;1;A;Ver tabla de referencia PSRGSEXO publicada en web.sispro.gov.co, donde se encuentran los valores permitidos.;;;;;;
11;Identificación;Código pertenencia étnica ;1;N;Tabla GrupoEtnico publicada en web.sispro.gov.co, donde se encuentran los valores permitidos.;;;;;;
